0.00;10.00;0.0002;
0.00;9.80;0.0002;
0.00;9.60;0.0003;
0.00;9.40;0.0003;
0.00;9.20;0.0004;
0.00;9.00;0.0004;
0.00;8.80;0.0005;
0.00;8.60;0.0005;
0.00;8.40;0.0005;
0.00;8.20;0.0005;
0.00;8.00;0.0005;
0.00;7.80;0.0005;
0.00;7.60;0.0005;
0.00;7.40;0.0005;
0.00;7.20;0.0005;
0.00;7.00;0.0006;
0.00;6.80;0.0007;
0.00;6.60;0.0009;
0.00;6.40;0.0011;
0.00;6.20;0.0013;
0.00;6.00;0.0014;
0.00;5.80;0.0016;
0.00;5.60;0.0017;
0.00;5.40;0.0018;
0.00;5.20;0.0018;
0.00;5.00;0.0017;
0.00;4.80;0.0016;
0.00;4.60;0.0014;
0.00;4.40;0.0011;
0.00;4.20;0.0008;
0.00;4.00;0.0005;
0.00;3.80;0.0003;
0.00;3.60;0.0002;
0.00;3.40;0.0005;
0.00;3.20;0.0012;
0.00;3.00;0.0024;
0.00;2.80;0.0039;
0.00;2.60;0.0064;
0.00;2.40;0.0096;
0.00;2.20;0.0137;
0.00;2.00;0.0188;
0.00;1.80;0.0246;
0.00;1.60;0.0313;
0.00;1.40;0.0383;
0.00;1.20;0.0458;
0.00;1.00;0.0533;
0.00;0.80;0.0595;
0.00;0.60;0.0650;
0.00;0.40;0.0692;
0.00;0.20;0.0720;
0.00;0.00;0.0732;
5.00;10.00;0.0002;
5.00;9.80;0.0002;
5.00;9.60;0.0002;
5.00;9.40;0.0003;
5.00;9.20;0.0003;
5.00;9.00;0.0003;
5.00;8.80;0.0003;
5.00;8.60;0.0004;
5.00;8.40;0.0004;
5.00;8.20;0.0004;
5.00;8.00;0.0004;
5.00;7.80;0.0005;
5.00;7.60;0.0005;
5.00;7.40;0.0005;
5.00;7.20;0.0006;
5.00;7.00;0.0006;
5.00;6.80;0.0007;
5.00;6.60;0.0008;
5.00;6.40;0.0009;
5.00;6.20;0.0011;
5.00;6.00;0.0013;
5.00;5.80;0.0015;
5.00;5.60;0.0017;
5.00;5.40;0.0018;
5.00;5.20;0.0019;
5.00;5.00;0.0019;
5.00;4.80;0.0018;
5.00;4.60;0.0016;
5.00;4.40;0.0013;
5.00;4.20;0.0010;
5.00;4.00;0.0006;
5.00;3.80;0.0003;
5.00;3.60;0.0002;
5.00;3.40;0.0004;
5.00;3.20;0.0010;
5.00;3.00;0.0020;
5.00;2.80;0.0036;
5.00;2.60;0.0061;
5.00;2.40;0.0093;
5.00;2.20;0.0134;
5.00;2.00;0.0185;
5.00;1.80;0.0243;
5.00;1.60;0.0312;
5.00;1.40;0.0384;
5.00;1.20;0.0459;
5.00;1.00;0.0534;
5.00;0.80;0.0596;
5.00;0.60;0.0651;
5.00;0.40;0.0693;
5.00;0.20;0.0721;
5.00;0.00;0.0732;
10.00;10.00;0.0002;
10.00;9.80;0.0002;
10.00;9.60;0.0002;
10.00;9.40;0.0003;
10.00;9.20;0.0003;
10.00;9.00;0.0003;
10.00;8.80;0.0003;
10.00;8.60;0.0003;
10.00;8.40;0.0003;
10.00;8.20;0.0003;
10.00;8.00;0.0003;
10.00;7.80;0.0003;
10.00;7.60;0.0004;
10.00;7.40;0.0004;
10.00;7.20;0.0004;
10.00;7.00;0.0004;
10.00;6.80;0.0005;
10.00;6.60;0.0006;
10.00;6.40;0.0007;
10.00;6.20;0.0008;
10.00;6.00;0.0010;
10.00;5.80;0.0013;
10.00;5.60;0.0015;
10.00;5.40;0.0017;
10.00;5.20;0.0018;
10.00;5.00;0.0019;
10.00;4.80;0.0018;
10.00;4.60;0.0016;
10.00;4.40;0.0013;
10.00;4.20;0.0010;
10.00;4.00;0.0006;
10.00;3.80;0.0003;
10.00;3.60;0.0001;
10.00;3.40;0.0003;
10.00;3.20;0.0008;
10.00;3.00;0.0019;
10.00;2.80;0.0035;
10.00;2.60;0.0060;
10.00;2.40;0.0093;
10.00;2.20;0.0136;
10.00;2.00;0.0187;
10.00;1.80;0.0248;
10.00;1.60;0.0314;
10.00;1.40;0.0389;
10.00;1.20;0.0464;
10.00;1.00;0.0537;
10.00;0.80;0.0598;
10.00;0.60;0.0654;
10.00;0.40;0.0694;
10.00;0.20;0.0722;
10.00;0.00;0.0734;
15.00;10.00;0.0003;
15.00;9.80;0.0003;
15.00;9.60;0.0003;
15.00;9.40;0.0003;
15.00;9.20;0.0003;
15.00;9.00;0.0003;
15.00;8.80;0.0003;
15.00;8.60;0.0004;
15.00;8.40;0.0002;
15.00;8.20;0.0002;
15.00;8.00;0.0002;
15.00;7.80;0.0002;
15.00;7.60;0.0002;
15.00;7.40;0.0002;
15.00;7.20;0.0003;
15.00;7.00;0.0003;
15.00;6.80;0.0004;
15.00;6.60;0.0004;
15.00;6.40;0.0006;
